2026-01-02 12:40:32,415 | INFO | ulauncher: main() | Ulauncher version 5.15.15
2026-01-02 12:40:32,415 | INFO | ulauncher: main() | Extension API version 2.0.0
2026-01-02 12:40:32,415 | INFO | ulauncher: main() | GTK+ 3.24.51
2026-01-02 12:40:32,415 | INFO | ulauncher: main() | Is Wayland: True
2026-01-02 12:40:32,415 | INFO | ulauncher: main() | Wayland compatibility: off
2026-01-02 12:40:32,428 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2026-01-02 12:40:32,434 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2026-01-02 12:40:32,435 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2026-01-02 12:40:32,435 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2026-01-02 12:40:32,436 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2026-01-02 12:40:32,437 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2026-01-02 12:40:32,438 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2026-01-02 12:40:32,438 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2026-01-02 12:40:32,438 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2026-01-02 12:40:32,438 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2026-01-02 12:40:32,439 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2026-01-02 12:40:32,440 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2026-01-02 12:40:32,492 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2026-01-02 12:40:32,495 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
